,City,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Lat,Lon
1406,Suntar,64.92,19.0,61.0,10.56,62.1444,117.6319
1407,Fairbanks,56.97,29.0,75.0,4.61,64.8378,-147.7164
1408,Talnakh,22.37,84.0,50.0,12.06,69.4865,88.3972
1409,Ingleside,74.88,78.0,1.0,12.66,27.8778,-97.2117
1410,Znamenskoye,79.66,34.0,61.0,9.15,57.1281,73.8282
1411,Hondomachi-hondo,72.19,88.0,75.0,11.5,32.45,130.2
1412,Sakaiminato,84.2,51.0,75.0,18.41,35.55,133.2333
1413,Kisi,74.57,87.0,7.0,6.11,9.0833,3.85
1414,Laguna,58.82,67.0,1.0,11.5,38.421,-121.4238
1415,Guabito,75.6,88.0,99.0,3.98,9.5,-82.6167
1416,Marsá Maţrūḩ,62.6,94.0,0.0,3.44,31.3525,27.2453
1417,Havøysund,35.6,80.0,90.0,13.8,70.9963,24.6622
1418,Utuado,71.37,91.0,32.0,2.66,18.2655,-66.7004
1419,Río Gallegos,48.2,81.0,75.0,3.44,-51.6226,-69.2181
1420,Alta Floresta,70.05,81.0,96.0,1.77,-9.8756,-56.0861
1421,Katherine,86.0,20.0,7.0,13.8,-14.4667,132.2667
1422,Sobolevo,56.12,87.0,31.0,8.81,54.4299,31.8996
1423,Tual,83.37,75.0,100.0,18.95,-5.6667,132.75
1424,Timbiquí,73.87,94.0,97.0,2.64,2.7717,-77.6654
1425,Yarensk,63.77,51.0,100.0,5.79,62.1675,49.0916
1426,Yuncheng,62.89,83.0,100.0,7.87,35.0231,110.9928
1427,Road Town,79.34,86.0,25.0,3.0,18.4167,-64.6167
1428,Kenora,53.29,71.0,75.0,6.91,49.8167,-94.4337
1429,Kaitangata,48.0,63.0,9.0,7.0,-46.2817,169.8464
